,pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
136,35,Ontario,Ontario,16-03-2020,145,0,1.0,145,10178.0,,,699.0,42,40.78,1.0,0.01,0.0,0.69,1717.0,,99.31,144.0,0.99,,,,,,,,
137,24,Quebec,Québec,16-03-2020,39,0,0.0,39,3129.0,,,369.0,15,62.5,0.46,0.0,0.0,0.0,792.0,,100.0,39.0,0.46,,,,,,,,
138,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,16-03-2020,0,1,0.0,1,161.0,,,309.0,0,0.0,0.19,0.0,0.0,0.0,99.0,,100.0,1.0,0.19,,,,,,,,
139,13,New Brunswick,Nouveau-Brunswick,16-03-2020,1,5,0.0,6,143.0,,,184.0,4,200.0,0.77,0.0,0.0,0.0,61.0,,100.0,6.0,0.77,,,,,,,,
140,12,Nova Scotia,Nouvelle-Écosse,16-03-2020,0,3,0.0,3,1075.0,,,1107.0,3,0.0,0.31,0.0,0.0,0.0,594.0,,100.0,3.0,0.31,,,,,,,,
141,11,Prince Edward Island,Île-du-Prince-Édouard,16-03-2020,1,0,0.0,1,6.0,,,38.0,0,0.0,0.64,0.0,0.0,0.0,0.0,,100.0,1.0,0.64,,,,,,,,
142,60,Yukon,Yukon,16-03-2020,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,
143,61,Northwest Territories,Territoires du Nord-Ouest,16-03-2020,0,0,0.0,0,138.0,,,3079.0,0,0.0,0.0,0.0,0.0,,62.0,,,,0.0,,,,,,,,
144,62,Nunavut,Nunavut,16-03-2020,0,0,0.0,0,7.0,,,181.0,0,0.0,0.0,0.0,0.0,,1.0,,,,0.0,,,,,,,,
145,99,Repatriated travellers,Voyageurs rapatriés,16-03-2020,4,0,0.0,4,29.0,,,,0,0.0,,,0.0,0.0,0.0,,100.0,4.0,,,,,,,,,
146,1,Canada,Canada,16-03-2020,324,17,5.0,341,37730.0,,,1004.0,88,34.78,0.91,0.01,3.0,1.47,12753.0,,98.53,336.0,0.89,,,,,,,,
147,59,British Columbia,Colombie-Britannique,17-03-2020,103,0,7.0,103,11612.0,,,2290.0,30,41.1,2.03,0.14,3.0,6.8,1686.0,,93.2,96.0,1.89,,,,,,,,
